transaction_id,customer_id,amount,currency,payment_method,bank,hour_of_day,day_of_week,failure_reason,failure_category,previous_success_count,previous_failure_count,customer_success_rate,attempt_number,gateway_latency_ms,device_type,risk_level,email_recovery_success,whatsapp_recovery_success,voice_recovery_success,recovered,recovered_amount
pay_tx_100001,cust_2824,3281.5,INR,UPI,PAYTM_BANK,8,1,card_expired,PAYMENT_METHOD_PROBLEM,7,2,0.778,2,224,mobile_android,LOW,1,1,1,1,3281.5
pay_tx_100002,cust_1434,1365.15,INR,WALLET,ICICI,22,5,incorrect_pin,CUSTOMER_CORRECTABLE,22,8,0.733,1,207,web_mobile,LOW,0,1,0,1,1365.15
pay_tx_100003,cust_7924,12028.76,INR,DEBIT_CARD,SBI,4,1,incorrect_pin,CUSTOMER_CORRECTABLE,24,5,0.828,1,430,web_mobile,LOW,0,1,0,1,12028.76
pay_tx_100004,cust_8527,1029.3,INR,WALLET,HDFC,12,0,incorrect_pin,CUSTOMER_CORRECTABLE,17,4,0.81,2,370,web_desktop,LOW,1,1,1,1,1029.3
pay_tx_100005,cust_5741,2417.17,INR,UPI,YES_BANK,7,6,insufficient_funds,INSUFFICIENT_FUNDS,3,6,0.333,1,32,web_desktop,LOW,1,0,0,1,2417.17
pay_tx_100006,cust_2169,536.25,INR,WALLET,PAYTM_BANK,5,4,insufficient_funds,INSUFFICIENT_FUNDS,23,3,0.885,1,315,web_mobile,LOW,0,1,1,1,536.25
pay_tx_100007,cust_6313,10496.3,INR,UPI,ICICI,1,6,incorrect_pin,CUSTOMER_CORRECTABLE,10,6,0.625,1,208,mobile_ios,MEDIUM,1,1,1,1,10496.3
pay_tx_100008,cust_9179,940.81,INR,NET_BANKING,PAYTM_BANK,14,1,authentication_failed,CUSTOMER_CORRECTABLE,8,2,0.8,1,272,web_desktop,LOW,1,1,1,1,940.81
pay_tx_100009,cust_3266,879.39,INR,WALLET,AXIS,2,6,bank_down,TEMPORARY_INFRASTRUCTURE,1,1,0.5,1,197,mobile_ios,MEDIUM,1,1,1,1,879.39
pay_tx_100010,cust_8668,1778.99,INR,WALLET,SBI,17,6,incorrect_pin,CUSTOMER_CORRECTABLE,0,1,0.0,1,96,web_desktop,MEDIUM,1,1,1,1,1778.99
pay_tx_100011,cust_1053,4851.55,INR,DEBIT_CARD,KOTAK,5,4,insufficient_funds,INSUFFICIENT_FUNDS,3,4,0.429,2,80,mobile_ios,LOW,0,1,0,1,4851.55
pay_tx_100012,cust_9689,367.3,INR,UPI,KOTAK,10,3,fraud_suspected,RISK_RELATED,0,1,0.0,3,290,web_desktop,HIGH,0,0,0,0,0.0
pay_tx_100013,cust_2403,4385.94,INR,NET_BANKING,YES_BANK,2,6,incorrect_pin,CUSTOMER_CORRECTABLE,17,2,0.895,1,284,web_mobile,MEDIUM,1,1,1,1,4385.94
pay_tx_100014,cust_4470,1573.76,INR,WALLET,YES_BANK,23,5,insufficient_funds,INSUFFICIENT_FUNDS,6,4,0.6,1,196,web_desktop,LOW,1,1,1,1,1573.76
pay_tx_100015,cust_6539,1040.27,INR,UPI,KOTAK,17,1,insufficient_funds,INSUFFICIENT_FUNDS,18,3,0.857,1,515,mobile_android,LOW,0,0,1,1,1040.27
pay_tx_100016,cust_4899,2667.51,INR,DEBIT_CARD,PAYTM_BANK,15,1,incorrect_pin,CUSTOMER_CORRECTABLE,17,2,0.895,2,182,web_mobile,LOW,1,1,1,1,2667.51
pay_tx_100017,cust_8062,802.47,INR,DEBIT_CARD,AXIS,13,3,incorrect_pin,CUSTOMER_CORRECTABLE,23,0,1.0,1,388,mobile_android,LOW,1,1,1,1,802.47
pay_tx_100018,cust_4139,6230.42,INR,CREDIT_CARD,KOTAK,14,1,card_expired,PAYMENT_METHOD_PROBLEM,13,2,0.867,1,477,mobile_ios,MEDIUM,1,1,0,1,6230.42
pay_tx_100019,cust_2604,660.46,INR,UPI,PAYTM_BANK,17,6,customer_cancelled,CUSTOMER_ABANDONMENT,0,1,0.0,3,194,mobile_ios,LOW,0,1,0,1,660.46
pay_tx_100020,cust_1960,1017.39,INR,CREDIT_CARD,AXIS,0,3,insufficient_funds,INSUFFICIENT_FUNDS,8,7,0.533,1,215,web_mobile,LOW,1,0,0,1,1017.39
pay_tx_100021,cust_9883,4793.57,INR,UPI,PAYTM_BANK,10,0,customer_cancelled,CUSTOMER_ABANDONMENT,1,7,0.125,1,615,mobile_ios,LOW,0,0,1,1,4793.57
pay_tx_100022,cust_2113,2790.46,INR,CREDIT_CARD,AXIS,3,4,card_expired,PAYMENT_METHOD_PROBLEM,7,0,1.0,1,144,web_mobile,LOW,1,1,1,1,2790.46
pay_tx_100023,cust_6147,1731.96,INR,CREDIT_CARD,SBI,12,1,authentication_failed,CUSTOMER_CORRECTABLE,21,4,0.84,1,691,mobile_android,LOW,1,1,1,1,1731.96
pay_tx_100024,cust_9808,2007.12,INR,CREDIT_CARD,KOTAK,8,1,insufficient_funds,INSUFFICIENT_FUNDS,11,1,0.917,2,196,web_desktop,LOW,1,1,1,1,2007.12
pay_tx_100025,cust_9666,1389.08,INR,UPI,PAYTM_BANK,17,2,insufficient_funds,INSUFFICIENT_FUNDS,21,1,0.955,3,325,mobile_ios,LOW,0,0,1,1,1389.08
pay_tx_100026,cust_5616,685.27,INR,WALLET,ICICI,22,2,balance_low,INSUFFICIENT_FUNDS,6,4,0.6,1,164,web_desktop,MEDIUM,0,1,0,1,685.27
pay_tx_100027,cust_5533,5423.42,INR,UPI,HDFC,10,6,gateway_timeout,TEMPORARY_INFRASTRUCTURE,4,4,0.5,1,319,web_mobile,LOW,1,1,1,1,5423.42
pay_tx_100028,cust_3442,2031.43,INR,WALLET,HDFC,11,4,gateway_timeout,TEMPORARY_INFRASTRUCTURE,17,2,0.895,1,488,mobile_android,LOW,0,1,0,1,2031.43
pay_tx_100029,cust_6862,778.63,INR,CREDIT_CARD,PAYTM_BANK,7,5,insufficient_funds,INSUFFICIENT_FUNDS,3,5,0.375,2,191,web_mobile,HIGH,0,0,0,0,0.0
pay_tx_100030,cust_3662,2579.48,INR,CREDIT_CARD,AXIS,0,1,incorrect_pin,CUSTOMER_CORRECTABLE,23,5,0.821,2,304,web_mobile,MEDIUM,0,1,1,1,2579.48
pay_tx_100031,cust_2771,330.81,INR,NET_BANKING,YES_BANK,1,6,incorrect_pin,CUSTOMER_CORRECTABLE,15,3,0.833,1,177,web_mobile,LOW,0,1,1,1,330.81
pay_tx_100032,cust_4164,1489.89,INR,NET_BANKING,SBI,8,6,authentication_failed,CUSTOMER_CORRECTABLE,2,4,0.333,1,336,web_mobile,LOW,0,1,1,1,1489.89
pay_tx_100033,cust_5279,2462.82,INR,CREDIT_CARD,KOTAK,8,0,fraud_suspected,RISK_RELATED,3,6,0.333,1,235,web_desktop,CRITICAL,0,0,0,0,0.0
pay_tx_100034,cust_4114,199.0,INR,DEBIT_CARD,HDFC,22,3,insufficient_funds,INSUFFICIENT_FUNDS,0,8,0.0,3,244,mobile_ios,LOW,1,0,0,1,199.0
pay_tx_100035,cust_6143,1943.56,INR,UPI,PAYTM_BANK,9,4,incorrect_pin,CUSTOMER_CORRECTABLE,9,6,0.6,1,1094,web_desktop,LOW,1,1,1,1,1943.56
pay_tx_100036,cust_3851,1435.35,INR,WALLET,KOTAK,9,3,incorrect_pin,CUSTOMER_CORRECTABLE,17,0,1.0,1,313,mobile_ios,LOW,1,1,1,1,1435.35
pay_tx_100037,cust_8244,7125.16,INR,CREDIT_CARD,KOTAK,15,6,insufficient_funds,INSUFFICIENT_FUNDS,25,2,0.926,1,425,web_desktop,LOW,0,1,0,1,7125.16
pay_tx_100038,cust_4848,9733.74,INR,DEBIT_CARD,ICICI,6,1,bank_down,TEMPORARY_INFRASTRUCTURE,0,0,0.5,1,64,web_mobile,LOW,0,1,0,1,9733.74
pay_tx_100039,cust_4185,550.79,INR,NET_BANKING,AXIS,12,1,incorrect_pin,CUSTOMER_CORRECTABLE,4,0,1.0,2,155,mobile_android,MEDIUM,1,1,0,1,550.79
pay_tx_100040,cust_8611,281.24,INR,UPI,KOTAK,7,6,bank_down,TEMPORARY_INFRASTRUCTURE,3,7,0.3,1,263,web_mobile,LOW,0,1,0,1,281.24
pay_tx_100041,cust_8251,599.86,INR,WALLET,YES_BANK,23,4,balance_low,INSUFFICIENT_FUNDS,13,8,0.619,1,686,mobile_ios,LOW,0,1,1,1,599.86
pay_tx_100042,cust_5543,706.34,INR,WALLET,AXIS,20,1,balance_low,INSUFFICIENT_FUNDS,8,7,0.533,1,192,web_desktop,LOW,1,0,1,1,706.34
pay_tx_100043,cust_3471,4799.28,INR,CREDIT_CARD,AXIS,22,1,gateway_timeout,TEMPORARY_INFRASTRUCTURE,22,3,0.88,1,79,web_mobile,LOW,1,1,0,1,4799.28
pay_tx_100044,cust_7381,262.7,INR,WALLET,PAYTM_BANK,0,6,incorrect_pin,CUSTOMER_CORRECTABLE,24,6,0.8,1,287,web_desktop,LOW,1,0,0,1,262.7
pay_tx_100045,cust_9818,2469.72,INR,WALLET,YES_BANK,19,1,insufficient_funds,INSUFFICIENT_FUNDS,15,3,0.833,1,434,web_mobile,LOW,1,1,1,1,2469.72
pay_tx_100046,cust_3704,3382.36,INR,NET_BANKING,ICICI,19,4,customer_cancelled,CUSTOMER_ABANDONMENT,0,6,0.0,1,312,mobile_android,LOW,0,0,1,1,3382.36
pay_tx_100047,cust_5262,799.49,INR,NET_BANKING,SBI,6,3,incorrect_pin,CUSTOMER_CORRECTABLE,10,5,0.667,2,297,web_mobile,LOW,0,1,0,1,799.49
pay_tx_100048,cust_8705,2570.07,INR,UPI,PAYTM_BANK,17,0,incorrect_pin,CUSTOMER_CORRECTABLE,11,3,0.786,1,135,mobile_android,MEDIUM,0,1,1,1,2570.07
pay_tx_100049,cust_3496,16965.37,INR,CREDIT_CARD,ICICI,15,5,bank_down,TEMPORARY_INFRASTRUCTURE,3,3,0.5,1,353,web_desktop,MEDIUM,1,1,0,1,16965.37
pay_tx_100050,cust_2876,561.37,INR,CREDIT_CARD,SBI,3,4,insufficient_funds,INSUFFICIENT_FUNDS,0,4,0.0,1,435,web_mobile,LOW,0,1,0,1,561.37
pay_tx_100051,cust_4978,5744.81,INR,UPI,PAYTM_BANK,9,6,bank_down,TEMPORARY_INFRASTRUCTURE,21,1,0.955,2,338,mobile_android,LOW,1,1,0,1,5744.81
pay_tx_100052,cust_6590,1346.86,INR,UPI,YES_BANK,13,6,insufficient_funds,INSUFFICIENT_FUNDS,15,1,0.938,1,130,web_desktop,LOW,0,1,1,1,1346.86
pay_tx_100053,cust_9548,1648.26,INR,DEBIT_CARD,KOTAK,17,6,customer_cancelled,CUSTOMER_ABANDONMENT,15,7,0.682,1,322,web_desktop,LOW,1,0,0,1,1648.26
pay_tx_100054,cust_8385,1836.47,INR,CREDIT_CARD,YES_BANK,14,4,authentication_failed,CUSTOMER_CORRECTABLE,19,6,0.76,1,650,web_mobile,MEDIUM,1,1,0,1,1836.47
pay_tx_100055,cust_6576,3830.69,INR,DEBIT_CARD,KOTAK,22,2,insufficient_funds,INSUFFICIENT_FUNDS,17,0,1.0,1,118,mobile_ios,LOW,0,1,0,1,3830.69
pay_tx_100056,cust_8800,500.16,INR,NET_BANKING,AXIS,0,0,balance_low,INSUFFICIENT_FUNDS,9,3,0.75,1,355,mobile_ios,LOW,0,1,0,1,500.16
pay_tx_100057,cust_7971,1382.77,INR,WALLET,SBI,11,5,incorrect_pin,CUSTOMER_CORRECTABLE,14,4,0.778,1,415,mobile_ios,LOW,1,1,1,1,1382.77
pay_tx_100058,cust_4033,3190.35,INR,CREDIT_CARD,ICICI,23,3,fraud_suspected,RISK_RELATED,8,8,0.5,1,236,mobile_android,HIGH,0,0,0,0,0.0
pay_tx_100059,cust_9751,654.48,INR,CREDIT_CARD,SBI,1,0,gateway_timeout,TEMPORARY_INFRASTRUCTURE,17,4,0.81,1,56,mobile_ios,LOW,0,1,1,1,654.48
pay_tx_100060,cust_5658,2337.68,INR,NET_BANKING,AXIS,14,2,balance_low,INSUFFICIENT_FUNDS,5,0,1.0,1,78,web_mobile,LOW,1,1,0,1,2337.68
pay_tx_100061,cust_1878,626.01,INR,CREDIT_CARD,ICICI,18,2,authentication_failed,CUSTOMER_CORRECTABLE,2,3,0.4,1,280,web_mobile,LOW,0,1,0,1,626.01
pay_tx_100062,cust_8381,1938.85,INR,NET_BANKING,SBI,18,3,customer_cancelled,CUSTOMER_ABANDONMENT,9,0,1.0,1,87,mobile_android,MEDIUM,1,1,0,1,1938.85
pay_tx_100063,cust_3573,6632.0,INR,CREDIT_CARD,ICICI,17,0,insufficient_funds,INSUFFICIENT_FUNDS,5,0,1.0,1,514,web_mobile,LOW,1,1,0,1,6632.0
pay_tx_100064,cust_8438,3354.45,INR,UPI,PAYTM_BANK,7,2,customer_cancelled,CUSTOMER_ABANDONMENT,25,3,0.893,1,363,mobile_ios,LOW,0,0,1,1,3354.45
pay_tx_100065,cust_3718,3354.5,INR,DEBIT_CARD,KOTAK,23,6,card_expired,PAYMENT_METHOD_PROBLEM,18,4,0.818,1,483,web_mobile,LOW,0,0,1,1,3354.5
pay_tx_100066,cust_9090,3950.78,INR,NET_BANKING,HDFC,19,0,insufficient_funds,INSUFFICIENT_FUNDS,13,5,0.722,1,128,mobile_android,LOW,0,0,0,0,0.0
pay_tx_100067,cust_1339,1360.79,INR,DEBIT_CARD,KOTAK,1,6,incorrect_pin,CUSTOMER_CORRECTABLE,24,2,0.923,1,1019,web_mobile,MEDIUM,1,1,0,1,1360.79
pay_tx_100068,cust_9056,199.0,INR,UPI,AXIS,11,3,authentication_failed,CUSTOMER_CORRECTABLE,10,5,0.667,1,169,mobile_ios,LOW,0,1,0,1,199.0
pay_tx_100069,cust_1601,6679.11,INR,NET_BANKING,HDFC,10,2,authentication_failed,CUSTOMER_CORRECTABLE,10,1,0.909,3,135,web_mobile,MEDIUM,0,1,0,1,6679.11
pay_tx_100070,cust_8569,4086.8,INR,NET_BANKING,HDFC,6,4,incorrect_pin,CUSTOMER_CORRECTABLE,11,7,0.611,1,258,mobile_android,LOW,1,0,1,1,4086.8
pay_tx_100071,cust_8941,827.23,INR,UPI,HDFC,20,4,bank_down,TEMPORARY_INFRASTRUCTURE,25,3,0.893,2,27,web_desktop,LOW,1,1,0,1,827.23
pay_tx_100072,cust_2858,2261.41,INR,NET_BANKING,HDFC,20,6,insufficient_funds,INSUFFICIENT_FUNDS,4,7,0.364,3,125,web_desktop,LOW,1,0,0,1,2261.41
pay_tx_100073,cust_4993,1575.48,INR,NET_BANKING,KOTAK,4,3,fraud_suspected,RISK_RELATED,6,8,0.429,2,361,mobile_ios,HIGH,0,0,0,0,0.0
pay_tx_100074,cust_9318,5109.75,INR,DEBIT_CARD,YES_BANK,0,2,incorrect_pin,CUSTOMER_CORRECTABLE,23,4,0.852,2,168,web_mobile,MEDIUM,1,1,1,1,5109.75
pay_tx_100075,cust_9903,825.51,INR,NET_BANKING,AXIS,10,6,bank_down,TEMPORARY_INFRASTRUCTURE,6,3,0.667,1,76,mobile_ios,MEDIUM,1,1,1,1,825.51
pay_tx_100076,cust_7246,5439.46,INR,NET_BANKING,PAYTM_BANK,20,1,card_expired,PAYMENT_METHOD_PROBLEM,15,0,1.0,1,927,web_desktop,MEDIUM,0,1,1,1,5439.46
pay_tx_100077,cust_8486,6241.39,INR,UPI,PAYTM_BANK,4,3,insufficient_funds,INSUFFICIENT_FUNDS,20,2,0.909,1,584,web_desktop,LOW,0,1,0,1,6241.39
pay_tx_100078,cust_9742,773.4,INR,NET_BANKING,SBI,20,5,incorrect_pin,CUSTOMER_CORRECTABLE,24,7,0.774,2,346,mobile_android,LOW,1,1,1,1,773.4
pay_tx_100079,cust_4727,4580.49,INR,UPI,AXIS,3,6,incorrect_pin,CUSTOMER_CORRECTABLE,20,1,0.952,1,99,web_desktop,MEDIUM,1,1,1,1,4580.49
pay_tx_100080,cust_7141,12821.69,INR,NET_BANKING,ICICI,7,4,bank_down,TEMPORARY_INFRASTRUCTURE,13,2,0.867,1,62,mobile_android,LOW,1,1,1,1,12821.69
pay_tx_100081,cust_3344,10193.73,INR,CREDIT_CARD,AXIS,20,2,authentication_failed,CUSTOMER_CORRECTABLE,14,4,0.778,1,62,web_mobile,MEDIUM,1,1,1,1,10193.73
pay_tx_100082,cust_6661,556.79,INR,WALLET,SBI,20,3,incorrect_pin,CUSTOMER_CORRECTABLE,22,4,0.846,1,350,web_desktop,LOW,1,1,1,1,556.79
pay_tx_100083,cust_6881,1966.01,INR,WALLET,SBI,22,2,balance_low,INSUFFICIENT_FUNDS,0,6,0.0,1,182,mobile_android,MEDIUM,0,0,0,0,0.0
pay_tx_100084,cust_4770,12127.37,INR,WALLET,YES_BANK,11,1,insufficient_funds,INSUFFICIENT_FUNDS,20,3,0.87,1,78,mobile_ios,LOW,0,1,1,1,12127.37
pay_tx_100085,cust_8222,1506.97,INR,UPI,KOTAK,11,5,fraud_suspected,RISK_RELATED,4,1,0.8,3,382,web_desktop,CRITICAL,0,0,0,0,0.0
pay_tx_100086,cust_6994,2533.08,INR,WALLET,KOTAK,8,6,incorrect_pin,CUSTOMER_CORRECTABLE,5,4,0.556,3,147,web_mobile,HIGH,0,0,0,0,0.0
pay_tx_100087,cust_8673,891.37,INR,UPI,ICICI,7,6,incorrect_pin,CUSTOMER_CORRECTABLE,21,6,0.778,3,453,web_desktop,LOW,1,1,1,1,891.37
pay_tx_100088,cust_7038,5321.55,INR,DEBIT_CARD,KOTAK,12,6,card_expired,PAYMENT_METHOD_PROBLEM,20,5,0.8,1,314,mobile_ios,LOW,0,0,1,1,5321.55
pay_tx_100089,cust_4626,668.61,INR,UPI,PAYTM_BANK,14,5,card_expired,PAYMENT_METHOD_PROBLEM,9,6,0.6,1,156,mobile_android,MEDIUM,1,1,1,1,668.61
pay_tx_100090,cust_9807,1763.26,INR,CREDIT_CARD,AXIS,14,2,insufficient_funds,INSUFFICIENT_FUNDS,21,8,0.724,1,273,mobile_ios,MEDIUM,0,0,0,0,0.0
pay_tx_100091,cust_5583,3486.02,INR,UPI,PAYTM_BANK,11,1,gateway_timeout,TEMPORARY_INFRASTRUCTURE,14,7,0.667,3,212,web_desktop,LOW,0,1,0,1,3486.02
pay_tx_100092,cust_6876,4868.3,INR,UPI,AXIS,8,1,incorrect_pin,CUSTOMER_CORRECTABLE,3,7,0.3,1,442,mobile_ios,LOW,0,1,0,1,4868.3
pay_tx_100093,cust_4990,8660.91,INR,CREDIT_CARD,YES_BANK,18,1,insufficient_funds,INSUFFICIENT_FUNDS,2,8,0.2,1,254,mobile_ios,MEDIUM,1,0,0,1,8660.91
pay_tx_100094,cust_1046,2667.77,INR,DEBIT_CARD,YES_BANK,4,1,fraud_suspected,RISK_RELATED,17,4,0.81,2,225,mobile_android,HIGH,0,0,0,0,0.0
pay_tx_100095,cust_6304,677.31,INR,UPI,ICICI,8,0,insufficient_funds,INSUFFICIENT_FUNDS,4,6,0.4,1,913,mobile_android,LOW,0,1,1,1,677.31
